city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Mahebourg,20,MU,1536872400,78,-20.41,57.7,71.6,5.82
Naifaru,44,MV,1536875655,100,5.44,73.37,83.39,10.2
Bonavista,32,CA,1536875935,81,48.65,-53.11,61.34,3.83
Wanlaweyn,80,SO,1536875936,89,2.62,44.89,75.83,9.19
Lata,44,IN,1536875936,100,30.78,78.62,52.52,1.92
Dali,12,CN,1536875936,100,25.6,100.24,54.95,2.04
Tacna,20,PE,1536872400,68,-18.01,-70.25,64.4,12.75
Kristiansund,76,NO,1536873600,76,63.12,7.73,48.2,23.04
Sterling,90,US,1536875280,85,39.0,-77.4,82.58,11.88
Yuncheng,12,CN,1536875938,98,35.03,111.0,52.88,2.59
Saint-Louis,75,CH,1536874200,100,47.59,7.56,62.6,6.93
Ituverava,48,BR,1536875939,94,-20.34,-47.78,65.93,8.19
Takhtamygda,88,RU,1536875940,98,54.1,123.57,47.12,2.59
Tiksi,0,RU,1536875940,90,71.64,128.87,25.52,2.59
Leningradskiy,80,RU,1536875941,89,69.38,178.42,44.42,9.08
Valdivia,0,CL,1536872400,51,-39.81,-73.25,60.8,3.36
Chapais,75,CA,1536872400,57,49.78,-74.86,77.0,6.93
Bela,12,PK,1536875941,98,26.23,66.31,66.38,1.92
Bondo,12,CD,1536875942,97,3.81,23.69,69.08,1.03
Souillac,75,FR,1536874200,77,45.6,-0.6,66.2,8.05
Brae,92,GB,1536873600,71,60.4,-1.35,51.8,23.04
Moose Factory,1,CA,1536872400,65,51.26,-80.61,77.0,5.82
Nuevo Progreso,75,US,1536873360,58,26.05,-97.95,91.58,10.29
Pathein,64,MM,1536875943,93,16.78,94.73,77.45,4.61
Te Anau,20,NZ,1536875944,84,-45.41,167.72,47.03,8.75
Jimeta,76,NG,1536875944,92,9.28,12.44,72.95,1.81
Huangpu,20,CN,1536874200,94,31.23,121.48,75.2,2.93
Caravelas,0,BR,1536875945,100,-17.73,-39.27,73.94,15.46
Kollam,20,IN,1536874200,88,8.88,76.6,77.0,3.36
Yokadouma,68,CM,1536875945,90,3.52,15.05,71.6,2.15
Dolores,36,AR,1536875946,69,-36.31,-57.68,64.22,8.19
Bandarbeyla,20,SO,1536875947,83,9.49,50.81,73.13,25.52
Parakai,48,NZ,1536874200,71,-36.66,174.44,55.4,12.75
Marawi,92,PH,1536875948,100,8.0,124.29,67.1,3.15
Isla Vista,1,US,1536874500,32,34.41,-119.86,80.6,14.99
Rawson,0,AR,1536875948,24,-43.3,-65.11,67.28,10.65
Gamba,80,CN,1536875949,80,28.28,88.52,26.78,2.71
Nizhnevartovsk,0,RU,1536872400,87,60.93,76.58,51.8,11.18
Riyadh,0,SA,1536872400,7,24.63,46.72,86.0,3.36
Ryotsu,75,JP,1536873000,94,38.08,138.43,69.8,2.24
Kirkland Lake,1,CA,1536872400,42,48.15,-80.03,80.6,10.29
Kuopio,20,FI,1536873600,76,62.89,27.68,53.6,10.29
Katrineholm,0,SE,1536873600,76,59.0,16.21,55.4,8.05
